Model,country,MAE mediu,RMSE
Random Forest,Austria,1.6371368943143068,1.7202921125375616
Random Forest,Belarus,4.797248351543075,4.932995369914757
Random Forest,Belgium,0.9379790211159105,1.1205175779263246
Random Forest,Bosnia and Herzegovina,5.034336999569082,5.300727829907931
Random Forest,Bulgaria,2.2021806312268666,2.2947603010842723
Random Forest,Croatia,6.0983332267537635,6.23437455591962
Random Forest,Cyprus,2.060263334074429,2.5566584797233656
Random Forest,Czechia,0.725568081218708,0.8918780079938943
Random Forest,Denmark,0.8647605532867771,1.1204825941888619
Random Forest,Estonia,5.33449704700206,6.038991670596745
Random Forest,Finland,2.8843304449623957,3.1084307640266893
Random Forest,France,1.3207508189313188,1.5643628898083832
Random Forest,Germany,0.7805786395758816,1.340468732731516
Random Forest,Greece,2.0833158377722443,2.3213767933165643
Random Forest,Hungary,3.4229629367507926,3.7944331824396125
Random Forest,Iceland,6.254486792676824,8.688527201262886
Random Forest,Ireland,2.1663994270771356,2.991392675907119
Random Forest,Italy,8.541876965733183,9.222601406145701
Random Forest,Latvia,1.777651016810097,2.0480251208279863
Random Forest,Lithuania,4.979568482377272,5.019629193353778
Random Forest,Luxembourg,2.611681876106266,2.715484052250511
Random Forest,Malta,3.9128878928025714,4.0754184715024735
Random Forest,Moldova,7.386317796356465,8.248012164647939
Random Forest,Montenegro,4.022397261616591,5.222881099851365
Random Forest,Netherlands,1.5745902778934067,2.041553842944023
Random Forest,North Macedonia,7.918118065615093,8.35812696085475
Random Forest,Norway,0.712777043229309,0.8899972752102964
Random Forest,Poland,1.3439040798253274,1.5007122196881595
Random Forest,Portugal,4.029436693019195,4.080966217086797
Random Forest,Romania,10.159691085586108,10.19070191922505
Random Forest,Russian Federation,2.3040273350713987,2.586114118064368
Random Forest,Serbia,3.2838744081760014,3.779530914188768
Random Forest,Slovak Republic,2.953908221746059,3.6229162755021678
Random Forest,Slovenia,0.9348003751592188,1.157715348877367
Random Forest,Spain,0.8029385453849442,0.9386296413026183
Random Forest,Sweden,2.7815984942200287,2.9710587634654044
Random Forest,Switzerland,2.947171671303866,3.0741396486782824
Random Forest,Turkiye,17.968029721618127,18.038358766482663
Random Forest,Ukraine,1.3421785446823005,1.4684403015218819
Random Forest,United Kingdom,2.2951776699124538,2.4991248769376453
Ridge,Albania,3.8696795293788355,4.5792578162365025
Ridge,Austria,4.817379686718939,4.831560551664853
Ridge,Belarus,2.4863579368611513,2.5296330880658786
Ridge,Belgium,10.820905752702837,10.836924017032514
Ridge,Bosnia and Herzegovina,9.334988645936722,9.49937100602508
Ridge,Bulgaria,1.0111043035940894,1.1364644905329735
Ridge,Croatia,9.589027073280743,9.738704297381398
Ridge,Cyprus,1.6095190394547643,1.8617944138457678
Ridge,Czechia,1.3293679848875541,1.535807236893181
Ridge,Denmark,0.2648812770086749,0.4941582325772073
Ridge,Estonia,2.5768398676850977,3.0733107716514394
Ridge,Finland,5.696488359221126,5.735009548764316
Ridge,France,3.628532770557766,3.8365564437266273
Ridge,Germany,1.108515950114338,1.4239968905341118
Ridge,Greece,5.519565176848211,5.785906119870552
Ridge,Hungary,6.47306960754639,6.5675229852897665
Ridge,Iceland,5.269320550456817,5.656522075102523
Ridge,Ireland,2.517784808363598,2.663994084158822
Ridge,Italy,13.449231557905687,13.514566517633202
Ridge,Latvia,2.6725104480457107,2.873563416927049
Ridge,Lithuania,4.86019519438859,5.053002330233988
